AÑO,MES,DISTRITO,FUEGOS,DAÑOS EN CONSTRUCCION,SALVAMENTOS Y RESCATES,DAÑOS POR AGUA,INCIDENTES DIVERSOS,SALIDAS SIN INTERVENCION,SERVICIOS VARIOS,TOTAL
2020,Mayo,CENTRO,26.0,18.0,43.0,11.0,27.0,8.0,1.0,134.0
2020,Mayo,ARGANZUELA,13.0,14.0,37.0,18.0,36.0,16.0,1.0,135.0
2020,Mayo,RETIRO,11.0,5.0,13.0,7.0,31.0,2.0,0.0,69.0
2020,Mayo,SALAMANCA,7.0,9.0,25.0,19.0,17.0,9.0,1.0,87.0
2020,Mayo,CHAMARTIN,9.0,6.0,24.0,13.0,29.0,5.0,1.0,87.0
2020,Mayo,TETUAN,9.0,9.0,16.0,11.0,20.0,3.0,0.0,68.0
2020,Mayo,CHAMBERI,11.0,8.0,27.0,7.0,22.0,5.0,0.0,80.0
2020,Mayo,FUENCARRAL,25.0,6.0,49.0,8.0,29.0,12.0,0.0,129.0
2020,Mayo,MONCLOA,16.0,2.0,31.0,7.0,22.0,6.0,0.0,84.0
2020,Mayo,LATINA,16.0,4.0,37.0,4.0,33.0,8.0,3.0,105.0
2020,Mayo,CARABANCHEL,18.0,4.0,38.0,5.0,19.0,8.0,0.0,92.0
2020,Mayo,USERA,8.0,3.0,30.0,5.0,10.0,2.0,0.0,58.0
2020,Mayo,PUENTE VALLECAS,21.0,9.0,43.0,17.0,28.0,5.0,3.0,126.0
2020,Mayo,MORATALAZ,10.0,0.0,10.0,3.0,22.0,4.0,0.0,49.0
2020,Mayo,CIUDAD LINEAL,13.0,5.0,21.0,10.0,47.0,3.0,0.0,99.0
2020,Mayo,HORTALEZA,8.0,1.0,39.0,8.0,38.0,6.0,0.0,100.0
2020,Mayo,VILLAVERDE,24.0,4.0,43.0,3.0,18.0,7.0,1.0,100.0
2020,Mayo,VILLA DE VALLECAS,15.0,1.0,34.0,1.0,5.0,24.0,0.0,80.0
2020,Mayo,VICALVARO,1.0,1.0,11.0,4.0,8.0,3.0,0.0,28.0
2020,Mayo,SAN BLAS,10.0,5.0,36.0,9.0,52.0,3.0,1.0,116.0
2020,Mayo,BARAJAS,4.0,2.0,17.0,10.0,13.0,1.0,0.0,47.0
2020,Mayo,FUERA TERMINO MUNICIPAL,3.0,0.0,4.0,0.0,1.0,0.0,1.0,9.0
2020,Abril,CENTRO,14.0,19.0,70.0,12.0,19.0,12.0,15.0,161.0
2020,Abril,ARGANZUELA,13.0,7.0,45.0,11.0,14.0,14.0,3.0,107.0
2020,Abril,RETIRO,1.0,9.0,14.0,5.0,12.0,3.0,0.0,44.0
2020,Abril,SALAMANCA,4.0,10.0,34.0,11.0,14.0,5.0,0.0,78.0
2020,Abril,CHAMARTIN,9.0,5.0,25.0,6.0,11.0,7.0,1.0,64.0
2020,Abril,TETUAN,10.0,6.0,15.0,13.0,10.0,7.0,3.0,64.0
2020,Abril,CHAMBERI,6.0,12.0,21.0,4.0,12.0,8.0,1.0,64.0
2020,Abril,FUENCARRAL,6.0,3.0,31.0,5.0,18.0,4.0,0.0,67.0
2020,Abril,MONCLOA,1.0,1.0,44.0,7.0,12.0,6.0,2.0,73.0
2020,Abril,LATINA,7.0,8.0,30.0,8.0,11.0,9.0,1.0,74.0
2020,Abril,CARABANCHEL,14.0,5.0,26.0,7.0,19.0,6.0,2.0,79.0
2020,Abril,USERA,12.0,2.0,17.0,6.0,9.0,10.0,4.0,60.0
2020,Abril,PUENTE VALLECAS,9.0,7.0,33.0,9.0,25.0,9.0,4.0,96.0
2020,Abril,MORATALAZ,3.0,1.0,14.0,5.0,4.0,0.0,0.0,27.0
2020,Abril,CIUDAD LINEAL,6.0,7.0,33.0,5.0,16.0,7.0,0.0,74.0
2020,Abril,HORTALEZA,5.0,6.0,35.0,2.0,18.0,2.0,1.0,69.0
2020,Abril,VILLAVERDE,8.0,1.0,19.0,10.0,8.0,4.0,1.0,51.0
2020,Abril,VILLA DE VALLECAS,8.0,1.0,15.0,0.0,5.0,4.0,2.0,35.0
2020,Abril,VICALVARO,1.0,2.0,11.0,3.0,4.0,2.0,1.0,24.0
2020,Abril,SAN BLAS,4.0,6.0,19.0,1.0,19.0,4.0,0.0,53.0
2020,Abril,BARAJAS,3.0,1.0,9.0,2.0,4.0,1.0,8.0,28.0
2020,Abril,FUERA TERMINO MUNICIPAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Marzo,CENTRO,21.0,21.0,49.0,12.0,35.0,12.0,5.0,155.0
2020,Marzo,ARGANZUELA,17.0,12.0,52.0,12.0,18.0,13.0,4.0,128.0
2020,Marzo,RETIRO,12.0,4.0,21.0,7.0,10.0,5.0,0.0,59.0
2020,Marzo,SALAMANCA,5.0,6.0,29.0,10.0,18.0,9.0,3.0,80.0
2020,Marzo,CHAMARTIN,8.0,6.0,23.0,11.0,26.0,6.0,2.0,82.0
2020,Marzo,TETUAN,19.0,11.0,29.0,10.0,22.0,8.0,0.0,99.0
2020,Marzo,CHAMBERI,9.0,15.0,14.0,6.0,17.0,4.0,0.0,65.0
2020,Marzo,FUENCARRAL,14.0,14.0,38.0,5.0,38.0,7.0,3.0,119.0
2020,Marzo,MONCLOA,10.0,6.0,34.0,6.0,30.0,4.0,4.0,94.0
2020,Marzo,LATINA,15.0,15.0,29.0,5.0,23.0,10.0,1.0,98.0
2020,Marzo,CARABANCHEL,19.0,8.0,34.0,6.0,40.0,11.0,2.0,120.0
2020,Marzo,USERA,13.0,4.0,16.0,6.0,13.0,7.0,1.0,60.0
2020,Marzo,PUENTE VALLECAS,22.0,15.0,29.0,12.0,27.0,8.0,1.0,114.0
2020,Marzo,MORATALAZ,6.0,1.0,15.0,4.0,18.0,7.0,0.0,51.0
2020,Marzo,CIUDAD LINEAL,9.0,9.0,29.0,10.0,34.0,7.0,0.0,98.0
2020,Marzo,HORTALEZA,11.0,10.0,20.0,3.0,43.0,6.0,3.0,96.0
2020,Marzo,VILLAVERDE,29.0,9.0,21.0,7.0,15.0,7.0,2.0,90.0
2020,Marzo,VILLA DE VALLECAS,17.0,6.0,13.0,5.0,4.0,5.0,1.0,51.0
2020,Marzo,VICALVARO,6.0,1.0,3.0,1.0,2.0,2.0,0.0,15.0
2020,Marzo,SAN BLAS,20.0,11.0,14.0,5.0,36.0,5.0,0.0,91.0
2020,Marzo,BARAJAS,10.0,1.0,1.0,1.0,12.0,3.0,5.0,33.0
2020,Febrero,CENTRO,30.0,18.0,42.0,11.0,43.0,8.0,10.0,162.0
2020,Febrero,ARGANZUELA,14.0,1.0,15.0,9.0,11.0,6.0,6.0,62.0
2020,Febrero,RETIRO,13.0,3.0,5.0,6.0,10.0,3.0,1.0,41.0
2020,Febrero,SALAMANCA,14.0,13.0,16.0,7.0,20.0,1.0,6.0,77.0
2020,Febrero,CHAMARTIN,7.0,7.0,11.0,8.0,13.0,3.0,9.0,58.0
2020,Febrero,TETUAN,11.0,8.0,12.0,7.0,25.0,2.0,6.0,71.0
2020,Febrero,CHAMBERI,19.0,2.0,20.0,7.0,20.0,2.0,4.0,74.0
2020,Febrero,FUENCARRAL,25.0,5.0,16.0,4.0,29.0,6.0,8.0,93.0
2020,Febrero,MONCLOA,13.0,0.0,16.0,7.0,11.0,6.0,15.0,68.0
2020,Febrero,LATINA,17.0,5.0,19.0,15.0,27.0,9.0,11.0,103.0
2020,Febrero,CARABANCHEL,33.0,5.0,21.0,5.0,20.0,12.0,9.0,105.0
