DISTRITOS;RELACIONADAS CON LAS PERSONAS;RELACIONADAS CON EL PATRIMONIO;POR TENENCIA DE ARMAS;POR TENENCIA DE DROGAS;POR CONSUMO DE DROGAS;PERSONAS DETENIDAS E INVESTIGADAS;CON VICTIMAS;SIN VICTIMAS;EXPEDIENTES;PROPIEDAD INTELECTUAL E INDUSTRIAL;INFRACCIONES ALIMENTARIAS;MAYORES DE EDAD;MENORES DE 18 AÑOS;INSPECCIONES Y ACTUACIONES;DENUNCIAS;EXPEDIENTES INSTRUIDOS;CONTACTOS CON CENTROS ESCOLARES;AÑO;MES
CENTRO;19.0;43.0;17.0;32.0;8.0;97.0;19.0;20.0;23.0;83.0;40.0;117.0;1.0;139.0;353.0;18.0;1.0;2021;enero
ARGANZUELA;4.0;10.0;1.0;3.0;1.0;19.0;19.0;17.0;3.0;9.0;2.0;14.0;0.0;29.0;44.0;0.0;0.0;2021;enero
RETIRO;1.0;4.0;0.0;5.0;1.0;8.0;23.0;19.0;5.0;0.0;3.0;28.0;14.0;27.0;43.0;0.0;1.0;2021;enero
SALAMANCA;3.0;49.0;0.0;11.0;0.0;47.0;34.0;44.0;10.0;0.0;0.0;8.0;6.0;75.0;133.0;0.0;0.0;2021;enero
CHAMARTÍN;3.0;6.0;1.0;7.0;2.0;24.0;21.0;31.0;4.0;4.0;0.0;37.0;22.0;27.0;84.0;0.0;0.0;2021;enero
TETUÁN;14.0;13.0;1.0;3.0;6.0;18.0;8.0;26.0;8.0;1.0;2.0;53.0;1.0;36.0;86.0;0.0;0.0;2021;enero
CHAMBERÍ;4.0;13.0;3.0;7.0;2.0;8.0;11.0;27.0;7.0;0.0;0.0;53.0;3.0;48.0;100.0;1.0;1.0;2021;enero
FUENCARRAL - EL PARDO;4.0;10.0;0.0;10.0;1.0;7.0;18.0;30.0;13.0;1.0;1.0;41.0;8.0;45.0;106.0;0.0;0.0;2021;enero
MONCLOA - ARAVACA;23.0;17.0;0.0;4.0;3.0;7.0;18.0;41.0;9.0;0.0;4.0;25.0;0.0;24.0;51.0;0.0;2.0;2021;enero
LATINA;8.0;12.0;9.0;11.0;2.0;36.0;28.0;26.0;20.0;6.0;16.0;91.0;1.0;49.0;95.0;0.0;1.0;2021;enero
CARABANCHEL;27.0;31.0;4.0;9.0;6.0;39.0;25.0;31.0;25.0;9.0;3.0;31.0;3.0;45.0;131.0;0.0;10.0;2021;enero
USERA;30.0;20.0;1.0;8.0;2.0;28.0;12.0;24.0;9.0;11.0;3.0;136.0;0.0;21.0;59.0;0.0;0.0;2021;enero
PUENTE DE VALLECAS;25.0;29.0;3.0;8.0;0.0;48.0;21.0;43.0;23.0;3.0;0.0;21.0;0.0;57.0;48.0;0.0;0.0;2021;enero
MORATALAZ;5.0;2.0;0.0;1.0;1.0;9.0;10.0;16.0;3.0;0.0;0.0;19.0;0.0;7.0;4.0;0.0;3.0;2021;enero
CIUDAD LINEAL;15.0;14.0;1.0;14.0;5.0;29.0;33.0;45.0;30.0;0.0;0.0;0.0;0.0;37.0;59.0;0.0;0.0;2021;enero
HORTALEZA;4.0;14.0;7.0;26.0;9.0;32.0;14.0;38.0;12.0;0.0;0.0;49.0;9.0;15.0;41.0;3.0;21.0;2021;enero
VILLAVERDE;14.0;11.0;1.0;13.0;2.0;12.0;18.0;6.0;4.0;3.0;0.0;71.0;1.0;20.0;20.0;1.0;24.0;2021;enero
VILLA DE VALLECAS;16.0;10.0;3.0;20.0;0.0;15.0;11.0;13.0;9.0;0.0;0.0;14.0;0.0;62.0;75.0;0.0;3.0;2021;enero
VICÁLVARO;7.0;3.0;0.0;0.0;0.0;5.0;10.0;12.0;7.0;0.0;0.0;3.0;0.0;35.0;29.0;0.0;0.0;2021;enero
SAN BLAS - CANILLEJAS;11.0;9.0;3.0;11.0;1.0;38.0;39.0;29.0;9.0;0.0;0.0;15.0;0.0;18.0;26.0;4.0;19.0;2021;enero
BARAJAS;5.0;5.0;0.0;5.0;2.0;6.0;6.0;11.0;8.0;0.0;0.0;5.0;0.0;5.0;1.0;1.0;6.0;2021;enero
SIN DISTRITO ASIGNADO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2021;enero
OTRAS UNIDADES;;;;;;;;;22.0;;;;;;;;;2021;enero
CENTRO;20.0;41.0;4.0;68.0;10.0;112.0;31.0;35.0;42.0;47.0;34.0;312.0;1.0;324.0;497.0;6.0;15.0;2021;febrero
