DISTRITOS;RELACIONADAS CON LAS PERSONAS;RELACIONADAS CON EL PATRIMONIO;POR TENENCIA DE ARMAS;POR TENENCIA DE DROGAS;POR CONSUMO DE DROGAS;PERSONAS DETENIDAS E INVESTIGADAS;CON VICTIMAS;SIN VICTIMAS;EXPEDIENTES;PROPIEDAD INTELECTUAL E INDUSTRIAL;INFRACCIONES ALIMENTARIAS;MAYORES DE EDAD;MENORES DE 18 AÑOS;INSPECCIONES Y ACTUACIONES;DENUNCIAS;EXPEDIENTES INSTRUIDOS;CONTACTOS CON CENTROS ESCOLARES;AÑO;MES
CENTRO;23.0;89.0;21.0;296.0;60.0;147.0;44.0;61.0;55.0;194.0;18.0;853.0;3.0;335.0;844.0;8.0;4.0;2023;enero
ARGANZUELA;2.0;6.0;0.0;5.0;1.0;12.0;38.0;48.0;23.0;3.0;1.0;2.0;8.0;110.0;152.0;0.0;8.0;2023;enero
RETIRO;1.0;6.0;0.0;4.0;1.0;11.0;46.0;39.0;9.0;22.0;3.0;6.0;0.0;13.0;23.0;1.0;0.0;2023;enero
SALAMANCA;9.0;36.0;1.0;26.0;1.0;47.0;55.0;71.0;7.0;2.0;0.0;9.0;6.0;195.0;356.0;0.0;0.0;2023;enero
CHAMARTÍN;7.0;15.0;1.0;29.0;5.0;35.0;53.0;68.0;9.0;28.0;4.0;112.0;1.0;67.0;107.0;3.0;1.0;2023;enero
TETUÁN;17.0;15.0;4.0;10.0;0.0;30.0;43.0;45.0;22.0;15.0;10.0;3.0;0.0;124.0;340.0;2.0;19.0;2023;enero
CHAMBERÍ;5.0;3.0;0.0;36.0;0.0;15.0;41.0;40.0;15.0;0.0;0.0;7.0;0.0;100.0;197.0;3.0;8.0;2023;enero
FUENCARRAL - EL PARDO;4.0;1.0;0.0;14.0;1.0;20.0;45.0;55.0;21.0;1.0;3.0;17.0;0.0;62.0;98.0;5.0;6.0;2023;enero
MONCLOA - ARAVACA;4.0;6.0;0.0;7.0;3.0;11.0;23.0;39.0;20.0;0.0;1.0;4.0;0.0;85.0;119.0;0.0;0.0;2023;enero
LATINA;9.0;5.0;2.0;23.0;3.0;31.0;33.0;48.0;30.0;2.0;17.0;18.0;0.0;77.0;137.0;1.0;12.0;2023;enero
CARABANCHEL;18.0;6.0;1.0;27.0;2.0;48.0;48.0;53.0;40.0;2.0;11.0;11.0;1.0;96.0;206.0;1.0;13.0;2023;enero
USERA;5.0;5.0;0.0;9.0;2.0;18.0;26.0;46.0;20.0;4.0;1.0;9.0;0.0;46.0;90.0;0.0;0.0;2023;enero
PUENTE DE VALLECAS;19.0;19.0;10.0;37.0;6.0;48.0;49.0;86.0;48.0;33.0;6.0;59.0;0.0;53.0;84.0;2.0;8.0;2023;enero
MORATALAZ;1.0;3.0;0.0;2.0;0.0;6.0;16.0;24.0;6.0;0.0;0.0;2.0;0.0;22.0;6.0;1.0;2.0;2023;enero
CIUDAD LINEAL;10.0;7.0;3.0;39.0;1.0;34.0;48.0;59.0;29.0;1.0;0.0;38.0;0.0;24.0;57.0;3.0;0.0;2023;enero
HORTALEZA;3.0;11.0;1.0;31.0;5.0;15.0;26.0;46.0;12.0;0.0;0.0;38.0;1.0;28.0;39.0;2.0;0.0;2023;enero
VILLAVERDE;6.0;6.0;0.0;11.0;1.0;15.0;24.0;34.0;7.0;14.0;1.0;3.0;0.0;91.0;114.0;1.0;31.0;2023;enero
VILLA DE VALLECAS;7.0;22.0;5.0;7.0;0.0;9.0;14.0;33.0;26.0;1.0;2.0;5.0;0.0;57.0;124.0;0.0;0.0;2023;enero
VICÁLVARO;1.0;2.0;1.0;1.0;2.0;5.0;7.0;17.0;11.0;1.0;0.0;15.0;0.0;34.0;53.0;11.0;4.0;2023;enero
SAN BLAS - CANILLEJAS;2.0;17.0;0.0;11.0;3.0;10.0;37.0;50.0;16.0;1.0;5.0;12.0;1.0;31.0;44.0;6.0;25.0;2023;enero
BARAJAS;4.0;11.0;2.0;0.0;0.0;2.0;10.0;19.0;2.0;0.0;0.0;13.0;0.0;31.0;52.0;0.0;39.0;2023;enero
SIN DISTRITO ASIGNADO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2023;enero
OTRAS UNIDADES;;;;;;;;;2.0;;;;;;;;;2023;enero
CENTRO;28.0;93.0;10.0;273.0;48.0;116.0;37.0;59.0;8.0;140.0;57.0;1616.0;9.0;355.0;1055.0;27.0;9.0;2023;febrero
ARGANZUELA;0.0;2.0;0.0;13.0;2.0;21.0;40.0;50.0;0.0;4.0;3.0;10.0;0.0;209.0;190.0;0.0;6.0;2023;febrero
RETIRO;4.0;2.0;1.0;7.0;1.0;7.0;32.0;54.0;0.0;9.0;1.0;9.0;0.0;36.0;74.0;0.0;5.0;2023;febrero
SALAMANCA;3.0;36.0;0.0;11.0;0.0;55.0;51.0;38.0;0.0;0.0;0.0;15.0;0.0;238.0;393.0;0.0;0.0;2023;febrero
CHAMARTÍN;3.0;4.0;0.0;58.0;26.0;20.0;41.0;59.0;3.0;29.0;5.0;123.0;0.0;115.0;126.0;1.0;7.0;2023;febrero
TETUÁN;11.0;7.0;1.0;14.0;1.0;31.0;39.0;27.0;1.0;15.0;1.0;1.0;0.0;87.0;266.0;3.0;19.0;2023;febrero
CHAMBERÍ;7.0;13.0;2.0;34.0;2.0;23.0;43.0;33.0;2.0;0.0;1.0;27.0;2.0;119.0;255.0;2.0;10.0;2023;febrero
FUENCARRAL - EL PARDO;5.0;3.0;1.0;20.0;1.0;24.0;34.0;60.0;1.0;1.0;1.0;10.0;0.0;73.0;81.0;1.0;1.0;2023;febrero
MONCLOA - ARAVACA;2.0;8.0;2.0;6.0;1.0;16.0;30.0;56.0;0.0;2.0;1.0;27.0;1.0;37.0;55.0;0.0;0.0;2023;febrero
LATINA;12.0;9.0;5.0;33.0;2.0;51.0;22.0;47.0;4.0;4.0;38.0;87.0;0.0;54.0;89.0;5.0;14.0;2023;febrero
CARABANCHEL;6.0;13.0;1.0;32.0;7.0;42.0;42.0;78.0;1.0;11.0;8.0;235.0;2.0;116.0;204.0;1.0;9.0;2023;febrero
USERA;9.0;7.0;1.0;6.0;3.0;17.0;24.0;41.0;0.0;7.0;42.0;80.0;0.0;76.0;152.0;0.0;0.0;2023;febrero
PUENTE DE VALLECAS;29.0;21.0;6.0;80.0;3.0;74.0;50.0;62.0;0.0;35.0;7.0;45.0;0.0;90.0;186.0;4.0;52.0;2023;febrero
MORATALAZ;4.0;10.0;1.0;4.0;1.0;8.0;18.0;17.0;2.0;0.0;0.0;2.0;0.0;11.0;19.0;0.0;8.0;2023;febrero
CIUDAD LINEAL;8.0;13.0;0.0;49.0;1.0;45.0;42.0;54.0;1.0;0.0;4.0;42.0;1.0;50.0;71.0;1.0;2.0;2023;febrero
HORTALEZA;2.0;7.0;1.0;32.0;4.0;16.0;29.0;35.0;3.0;3.0;4.0;25.0;12.0;36.0;58.0;0.0;2.0;2023;febrero
VILLAVERDE;10.0;10.0;1.0;12.0;3.0;28.0;16.0;35.0;1.0;20.0;5.0;154.0;0.0;59.0;149.0;2.0;14.0;2023;febrero
VILLA DE VALLECAS;4.0;13.0;0.0;6.0;4.0;19.0;20.0;20.0;0.0;3.0;6.0;4.0;3.0;88.0;110.0;0.0;0.0;2023;febrero
VICÁLVARO;0.0;3.0;0.0;0.0;0.0;4.0;15.0;20.0;0.0;0.0;0.0;2.0;0.0;37.0;46.0;6.0;4.0;2023;febrero
SAN BLAS - CANILLEJAS;6.0;12.0;4.0;21.0;0.0;14.0;30.0;42.0;2.0;1.0;15.0;5.0;0.0;34.0;44.0;5.0;42.0;2023;febrero
BARAJAS;0.0;3.0;1.0;2.0;4.0;6.0;7.0;25.0;0.0;0.0;1.0;2.0;0.0;36.0;36.0;0.0;41.0;2023;febrero
SIN DISTRITO ASIGNADO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2023;febrero
OTRAS COMISARÍAS;;;;;;;;;2.0;;;;;;;;;2023;febrero
CENTRO;33.0;100.0;5.0;328.0;48.0;178.0;54.0;74.0;42.0;159.0;84.0;1323.0;8.0;399.0;1136.0;13.0;10.0;2023;marzo
ARGANZUELA;8.0;7.0;0.0;15.0;2.0;29.0;29.0;48.0;14.0;0.0;2.0;5.0;0.0;230.0;289.0;0.0;17.0;2023;marzo
RETIRO;5.0;3.0;1.0;7.0;5.0;13.0;37.0;50.0;9.0;12.0;6.0;59.0;4.0;180.0;354.0;0.0;3.0;2023;marzo
SALAMANCA;5.0;41.0;2.0;13.0;2.0;64.0;56.0;73.0;10.0;1.0;0.0;14.0;0.0;249.0;434.0;0.0;9.0;2023;marzo
CHAMARTÍN;3.0;6.0;5.0;65.0;18.0;29.0;70.0;64.0;9.0;22.0;5.0;107.0;1.0;238.0;387.0;1.0;6.0;2023;marzo
TETUÁN;7.0;12.0;0.0;18.0;4.0;41.0;35.0;50.0;20.0;14.0;2.0;11.0;0.0;99.0;349.0;8.0;77.0;2023;marzo
CHAMBERÍ;4.0;3.0;2.0;37.0;1.0;15.0;39.0;37.0;7.0;1.0;0.0;27.0;0.0;152.0;305.0;5.0;9.0;2023;marzo
FUENCARRAL - EL PARDO;7.0;2.0;2.0;19.0;4.0;26.0;35.0;73.0;20.0;3.0;1.0;19.0;0.0;114.0;140.0;3.0;59.0;2023;marzo
MONCLOA - ARAVACA;7.0;6.0;1.0;14.0;3.0;23.0;39.0;59.0;10.0;1.0;19.0;84.0;0.0;83.0;161.0;0.0;17.0;2023;marzo
LATINA;6.0;6.0;14.0;37.0;9.0;46.0;41.0;52.0;24.0;8.0;35.0;216.0;1.0;51.0;103.0;3.0;32.0;2023;marzo
CARABANCHEL;11.0;14.0;3.0;49.0;11.0;61.0;66.0;69.0;32.0;24.0;23.0;46.0;0.0;120.0;213.0;1.0;23.0;2023;marzo
USERA;6.0;14.0;3.0;20.0;4.0;33.0;28.0;55.0;11.0;7.0;15.0;171.0;0.0;55.0;141.0;1.0;13.0;2023;marzo
PUENTE DE VALLECAS;20.0;41.0;7.0;54.0;7.0;114.0;52.0;76.0;39.0;17.0;7.0;68.0;0.0;115.0;147.0;7.0;15.0;2023;marzo
MORATALAZ;2.0;11.0;1.0;5.0;1.0;9.0;23.0;41.0;4.0;0.0;1.0;8.0;0.0;26.0;15.0;3.0;19.0;2023;marzo
CIUDAD LINEAL;13.0;29.0;3.0;56.0;0.0;61.0;51.0;52.0;24.0;7.0;11.0;72.0;0.0;57.0;70.0;5.0;9.0;2023;marzo
HORTALEZA;4.0;8.0;4.0;60.0;6.0;22.0;44.0;35.0;10.0;0.0;0.0;40.0;0.0;59.0;109.0;7.0;47.0;2023;marzo
VILLAVERDE;8.0;8.0;1.0;15.0;4.0;28.0;32.0;29.0;17.0;13.0;8.0;334.0;0.0;102.0;129.0;5.0;38.0;2023;marzo
VILLA DE VALLECAS;5.0;18.0;1.0;5.0;1.0;22.0;28.0;28.0;14.0;4.0;3.0;5.0;0.0;69.0;152.0;0.0;4.0;2023;marzo
VICÁLVARO;2.0;2.0;3.0;5.0;1.0;7.0;14.0;11.0;9.0;0.0;0.0;4.0;0.0;35.0;78.0;2.0;6.0;2023;marzo
SAN BLAS - CANILLEJAS;7.0;19.0;0.0;24.0;1.0;44.0;42.0;50.0;16.0;22.0;24.0;5.0;0.0;33.0;38.0;15.0;36.0;2023;marzo
BARAJAS;1.0;9.0;0.0;3.0;0.0;9.0;16.0;23.0;8.0;0.0;1.0;10.0;0.0;53.0;76.0;5.0;48.0;2023;marzo
SIN DISTRITO ASIGNADO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2023;marzo
OTRAS COMISARÍAS;;;;;;;;;5.0;;;;;;;;;2023;marzo
CENTRO;40.0;122.0;10.0;220.0;36.0;176.0;61.0;63.0;54.0;55.0;48.0;2094.0;7.0;492.0;1165.0;9.0;10.0;2023;abril
ARGANZUELA;4.0;5.0;0.0;8.0;2.0;20.0;41.0;33.0;8.0;2.0;2.0;12.0;0.0;141.0;172.0;0.0;15.0;2023;abril
RETIRO;2.0;8.0;0.0;13.0;0.0;17.0;38.0;34.0;3.0;42.0;19.0;73.0;23.0;260.0;618.0;4.0;12.0;2023;abril
