DISTRITOS;RELACIONADAS CON LAS PERSONAS;RELACIONADAS CON EL PATRIMONIO;POR TENENCIA DE ARMAS;POR TENENCIA DE DROGAS;POR CONSUMO DE DROGAS;PERSONAS DETENIDAS E INVESTIGADAS;CON VICTIMAS;SIN VICTIMAS;EXPEDIENTES;PROPIEDAD INTELECTUAL E INDUSTRIAL;INFRACCIONES ALIMENTARIAS;MAYORES DE EDAD;MENORES DE 18 AÑOS;INSPECCIONES Y ACTUACIONES;DENUNCIAS;EXPEDIENTES INSTRUIDOS;CONTACTOS CON CENTROS ESCOLARES;AÑO;MES
CENTRO;37.0;60.0;15.0;123.0;12.0;95.0;37.0;32.0;42.0;71.0;34.0;731.0;3.0;333.0;902.0;17.0;3.0;2022;enero
ARGANZUELA;6.0;17.0;0.0;9.0;2.0;17.0;29.0;28.0;19.0;17.0;3.0;0.0;0.0;65.0;104.0;0.0;0.0;2022;enero
RETIRO;3.0;6.0;0.0;5.0;0.0;5.0;34.0;29.0;8.0;2.0;2.0;45.0;7.0;33.0;46.0;0.0;2.0;2022;enero
SALAMANCA;5.0;27.0;2.0;17.0;2.0;54.0;60.0;78.0;21.0;2.0;2.0;2.0;0.0;115.0;248.0;0.0;13.0;2022;enero
CHAMARTÍN;6.0;7.0;6.0;13.0;18.0;21.0;36.0;55.0;16.0;18.0;0.0;30.0;1.0;109.0;285.0;0.0;5.0;2022;enero
TETUÁN;15.0;11.0;2.0;6.0;4.0;27.0;29.0;35.0;24.0;10.0;16.0;11.0;0.0;50.0;170.0;4.0;16.0;2022;enero
CHAMBERÍ;7.0;8.0;3.0;55.0;3.0;12.0;34.0;45.0;30.0;3.0;0.0;63.0;3.0;69.0;152.0;0.0;5.0;2022;enero
FUENCARRAL - EL PARDO;7.0;5.0;1.0;13.0;1.0;23.0;34.0;46.0;23.0;2.0;0.0;21.0;0.0;64.0;94.0;2.0;3.0;2022;enero
MONCLOA - ARAVACA;12.0;18.0;2.0;6.0;1.0;12.0;35.0;45.0;15.0;0.0;1.0;51.0;1.0;27.0;60.0;0.0;0.0;2022;enero
LATINA;20.0;17.0;5.0;18.0;0.0;28.0;35.0;51.0;26.0;7.0;4.0;193.0;4.0;37.0;89.0;0.0;14.0;2022;enero
CARABANCHEL;29.0;25.0;1.0;11.0;4.0;34.0;46.0;54.0;52.0;5.0;24.0;216.0;0.0;62.0;113.0;0.0;1.0;2022;enero
USERA;18.0;20.0;2.0;9.0;1.0;35.0;28.0;47.0;25.0;28.0;59.0;71.0;3.0;36.0;130.0;0.0;0.0;2022;enero
PUENTE DE VALLECAS;46.0;18.0;3.0;53.0;1.0;86.0;54.0;75.0;37.0;7.0;3.0;21.0;0.0;91.0;137.0;0.0;0.0;2022;enero
MORATALAZ;9.0;13.0;1.0;1.0;0.0;6.0;12.0;27.0;9.0;1.0;0.0;16.0;0.0;6.0;15.0;2.0;5.0;2022;enero
CIUDAD LINEAL;19.0;16.0;2.0;40.0;2.0;43.0;44.0;57.0;26.0;0.0;3.0;48.0;0.0;51.0;36.0;0.0;1.0;2022;enero
HORTALEZA;3.0;11.0;2.0;21.0;7.0;13.0;21.0;47.0;12.0;0.0;0.0;53.0;0.0;9.0;28.0;2.0;8.0;2022;enero
VILLAVERDE;14.0;15.0;3.0;13.0;6.0;24.0;26.0;38.0;23.0;2.0;1.0;284.0;2.0;40.0;77.0;4.0;38.0;2022;enero
VILLA DE VALLECAS;9.0;22.0;13.0;24.0;46.0;14.0;16.0;16.0;5.0;0.0;5.0;5.0;1.0;1.0;4.0;2.0;3.0;2022;enero
VICÁLVARO;12.0;11.0;0.0;0.0;0.0;3.0;12.0;15.0;4.0;0.0;0.0;1.0;0.0;28.0;38.0;0.0;1.0;2022;enero
SAN BLAS - CANILLEJAS;17.0;13.0;0.0;6.0;0.0;28.0;38.0;38.0;15.0;0.0;1.0;11.0;0.0;7.0;17.0;0.0;9.0;2022;enero
BARAJAS;4.0;7.0;1.0;4.0;0.0;1.0;12.0;19.0;2.0;0.0;0.0;9.0;7.0;7.0;9.0;5.0;20.0;2022;enero
SIN DISTRITO ASIGNADO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2022;enero
OTRAS UNIDADES;;;;;;;;;5.0;;;;;;;;;2022;enero
CENTRO;42.0;76.0;6.0;141.0;18.0;90.0;48.0;45.0;76.0;64.0;74.0;862.0;4.0;586.0;1269.0;34.0;6.0;2022;febrero
ARGANZUELA;20.0;13.0;1.0;4.0;0.0;15.0;34.0;31.0;30.0;4.0;8.0;19.0;0.0;217.0;184.0;1.0;0.0;2022;febrero
RETIRO;5.0;6.0;3.0;0.0;1.0;7.0;34.0;32.0;10.0;12.0;1.0;9.0;0.0;158.0;203.0;20.0;11.0;2022;febrero
SALAMANCA;14.0;31.0;0.0;15.0;0.0;47.0;50.0;55.0;23.0;0.0;0.0;3.0;4.0;262.0;518.0;0.0;9.0;2022;febrero
CHAMARTÍN;13.0;9.0;4.0;28.0;14.0;23.0;47.0;62.0;14.0;12.0;2.0;68.0;4.0;79.0;173.0;0.0;7.0;2022;febrero
TETUÁN;13.0;18.0;3.0;15.0;3.0;20.0;44.0;40.0;17.0;10.0;13.0;13.0;0.0;56.0;147.0;6.0;34.0;2022;febrero
CHAMBERÍ;12.0;16.0;2.0;37.0;0.0;17.0;48.0;31.0;22.0;0.0;1.0;35.0;0.0;127.0;287.0;5.0;3.0;2022;febrero
FUENCARRAL - EL PARDO;9.0;5.0;4.0;13.0;0.0;19.0;45.0;49.0;23.0;0.0;0.0;25.0;0.0;205.0;246.0;2.0;4.0;2022;febrero
MONCLOA - ARAVACA;17.0;14.0;2.0;13.0;0.0;20.0;57.0;52.0;21.0;0.0;2.0;122.0;12.0;48.0;92.0;0.0;0.0;2022;febrero
LATINA;21.0;10.0;5.0;21.0;7.0;36.0;40.0;51.0;19.0;4.0;9.0;115.0;2.0;54.0;72.0;0.0;43.0;2022;febrero
CARABANCHEL;29.0;27.0;9.0;24.0;0.0;39.0;39.0;57.0;42.0;16.0;20.0;338.0;1.0;58.0;137.0;0.0;3.0;2022;febrero
USERA;18.0;25.0;3.0;9.0;5.0;24.0;27.0;45.0;20.0;32.0;26.0;231.0;1.0;35.0;132.0;0.0;0.0;2022;febrero
PUENTE DE VALLECAS;30.0;19.0;10.0;33.0;1.0;60.0;34.0;72.0;47.0;11.0;19.0;71.0;0.0;63.0;85.0;0.0;0.0;2022;febrero
MORATALAZ;5.0;14.0;0.0;3.0;0.0;5.0;14.0;27.0;9.0;0.0;0.0;16.0;0.0;58.0;56.0;0.0;4.0;2022;febrero
CIUDAD LINEAL;29.0;14.0;0.0;24.0;0.0;53.0;36.0;69.0;28.0;2.0;31.0;24.0;0.0;52.0;68.0;0.0;1.0;2022;febrero
HORTALEZA;2.0;3.0;3.0;24.0;0.0;22.0;37.0;44.0;7.0;0.0;1.0;46.0;7.0;60.0;169.0;0.0;6.0;2022;febrero
VILLAVERDE;12.0;12.0;3.0;29.0;5.0;21.0;19.0;32.0;11.0;6.0;9.0;303.0;0.0;65.0;89.0;1.0;23.0;2022;febrero
VILLA DE VALLECAS;12.0;15.0;4.0;21.0;34.0;20.0;22.0;18.0;11.0;4.0;4.0;24.0;0.0;44.0;99.0;0.0;1.0;2022;febrero
VICÁLVARO;18.0;6.0;1.0;6.0;0.0;2.0;17.0;23.0;8.0;0.0;0.0;17.0;0.0;25.0;29.0;0.0;1.0;2022;febrero
SAN BLAS - CANILLEJAS;17.0;17.0;3.0;3.0;2.0;31.0;28.0;41.0;10.0;0.0;34.0;17.0;6.0;18.0;38.0;1.0;42.0;2022;febrero
BARAJAS;5.0;5.0;0.0;2.0;0.0;4.0;14.0;16.0;3.0;0.0;0.0;31.0;9.0;56.0;67.0;0.0;30.0;2022;febrero
SIN DISTRITO ASIGNADO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2022;febrero
OTRAS UNIDADES;;;;;;;;;4.0;;;;;;;;;2022;febrero
CENTRO;67.0;76.0;1.0;116.0;19.0;128.0;50.0;51.0;83.0;64.0;47.0;417.0;2.0;962.0;2022.0;40.0;10.0;2022;marzo
ARGANZUELA;13.0;11.0;0.0;11.0;1.0;17.0;42.0;44.0;25.0;2.0;5.0;6.0;0.0;339.0;268.0;0.0;0.0;2022;marzo
RETIRO;6.0;5.0;0.0;10.0;0.0;8.0;39.0;43.0;14.0;11.0;2.0;4.0;0.0;380.0;417.0;3.0;17.0;2022;marzo
SALAMANCA;6.0;23.0;1.0;10.0;5.0;57.0;64.0;74.0;35.0;3.0;0.0;8.0;0.0;470.0;801.0;0.0;2.0;2022;marzo
CHAMARTÍN;10.0;9.0;0.0;11.0;1.0;13.0;53.0;69.0;14.0;8.0;5.0;48.0;12.0;183.0;290.0;0.0;3.0;2022;marzo
TETUÁN;16.0;17.0;0.0;21.0;0.0;23.0;41.0;31.0;23.0;7.0;12.0;19.0;0.0;127.0;264.0;3.0;22.0;2022;marzo
CHAMBERÍ;15.0;23.0;2.0;31.0;2.0;25.0;40.0;45.0;28.0;2.0;0.0;45.0;1.0;252.0;372.0;5.0;6.0;2022;marzo
FUENCARRAL - EL PARDO;4.0;6.0;1.0;10.0;2.0;19.0;43.0;63.0;36.0;0.0;0.0;24.0;0.0;376.0;415.0;0.0;28.0;2022;marzo
MONCLOA - ARAVACA;27.0;12.0;1.0;20.0;2.0;17.0;47.0;52.0;28.0;0.0;1.0;40.0;5.0;180.0;278.0;0.0;0.0;2022;marzo
LATINA;26.0;22.0;0.0;34.0;9.0;34.0;37.0;42.0;32.0;7.0;61.0;290.0;1.0;196.0;202.0;0.0;5.0;2022;marzo
CARABANCHEL;33.0;28.0;1.0;12.0;2.0;43.0;45.0;63.0;81.0;22.0;61.0;370.0;0.0;174.0;298.0;0.0;5.0;2022;marzo
USERA;24.0;23.0;2.0;15.0;7.0;36.0;22.0;50.0;39.0;20.0;71.0;392.0;0.0;176.0;366.0;1.0;1.0;2022;marzo
PUENTE DE VALLECAS;43.0;26.0;10.0;39.0;4.0;78.0;52.0;67.0;80.0;22.0;9.0;29.0;0.0;341.0;231.0;0.0;0.0;2022;marzo
MORATALAZ;4.0;8.0;1.0;5.0;0.0;4.0;19.0;24.0;13.0;0.0;0.0;13.0;0.0;139.0;100.0;0.0;0.0;2022;marzo
CIUDAD LINEAL;25.0;17.0;5.0;56.0;1.0;38.0;50.0;56.0;52.0;2.0;9.0;27.0;0.0;81.0;80.0;0.0;0.0;2022;marzo
HORTALEZA;4.0;12.0;0.0;32.0;3.0;18.0;24.0;40.0;20.0;0.0;0.0;34.0;0.0;168.0;369.0;0.0;19.0;2022;marzo
