DISTRITOS;RELACIONADAS CON LAS PERSONAS;RELACIONADAS CON EL PATRIMONIO;POR TENENCIA DE ARMAS;POR TENENCIA DE DROGAS;POR CONSUMO DE DROGAS;PERSONAS DETENIDAS E INVESTIGADAS;CON VICTIMAS;SIN VICTIMAS;EXPEDIENTES;PROPIEDAD INTELECTUAL E INDUSTRIAL;INFRACCIONES ALIMENTARIAS;MAYORES DE EDAD;MENORES DE 18 AÑOS;INSPECCIONES Y ACTUACIONES;DENUNCIAS;EXPEDIENTES INSTRUIDOS;CONTACTOS CON CENTROS ESCOLARES;AÑO;MES
CENTRO;58.0;120.0;36.0;166.0;80.0;162.0;42.0;36.0;40.0;343.0;229.0;729.0;9.0;347.0;728.0;11.0;1.0;2020;enero
ARGANZUELA;7.0;14.0;3.0;10.0;5.0;18.0;27.0;37.0;9.0;33.0;11.0;83.0;9.0;118.0;127.0;0.0;11.0;2020;enero
RETIRO;3.0;3.0;2.0;6.0;0.0;17.0;43.0;38.0;15.0;12.0;24.0;82.0;8.0;20.0;30.0;0.0;5.0;2020;enero
SALAMANCA;11.0;49.0;1.0;43.0;8.0;74.0;63.0;66.0;10.0;30.0;8.0;61.0;7.0;219.0;356.0;0.0;16.0;2020;enero
CHAMARTÍN;6.0;11.0;0.0;8.0;3.0;32.0;53.0;53.0;16.0;5.0;1.0;115.0;5.0;29.0;72.0;2.0;8.0;2020;enero
TETUÁN;16.0;23.0;1.0;11.0;2.0;36.0;45.0;45.0;17.0;0.0;20.0;229.0;8.0;47.0;130.0;0.0;35.0;2020;enero
CHAMBERÍ;14.0;18.0;1.0;34.0;14.0;14.0;44.0;34.0;9.0;14.0;6.0;249.0;12.0;82.0;150.0;5.0;0.0;2020;enero
FUENCARRAL - EL PARDO;6.0;10.0;0.0;19.0;2.0;24.0;47.0;55.0;34.0;4.0;4.0;5.0;0.0;35.0;73.0;0.0;0.0;2020;enero
MONCLOA - ARAVACA;12.0;16.0;0.0;25.0;3.0;17.0;48.0;59.0;27.0;4.0;4.0;147.0;4.0;16.0;35.0;0.0;10.0;2020;enero
LATINA;6.0;15.0;2.0;15.0;0.0;27.0;39.0;39.0;26.0;6.0;6.0;79.0;1.0;25.0;51.0;1.0;26.0;2020;enero
CARABANCHEL;39.0;44.0;0.0;22.0;3.0;39.0;52.0;39.0;21.0;10.0;12.0;65.0;1.0;91.0;114.0;4.0;47.0;2020;enero
USERA;23.0;33.0;3.0;10.0;2.0;33.0;18.0;36.0;12.0;23.0;33.0;383.0;1.0;62.0;207.0;0.0;12.0;2020;enero
PUENTE DE VALLECAS;16.0;28.0;6.0;81.0;5.0;91.0;40.0;82.0;27.0;12.0;2.0;72.0;0.0;117.0;180.0;0.0;1.0;2020;enero
MORATALAZ;4.0;8.0;1.0;11.0;3.0;6.0;30.0;34.0;6.0;0.0;0.0;14.0;0.0;11.0;14.0;0.0;5.0;2020;enero
CIUDAD LINEAL;13.0;32.0;0.0;30.0;1.0;62.0;43.0;69.0;20.0;0.0;9.0;73.0;1.0;80.0;62.0;0.0;1.0;2020;enero
HORTALEZA;3.0;11.0;2.0;8.0;3.0;15.0;42.0;43.0;18.0;0.0;0.0;3.0;1.0;30.0;53.0;1.0;13.0;2020;enero
VILLAVERDE;17.0;35.0;0.0;31.0;2.0;47.0;25.0;34.0;10.0;8.0;10.0;79.0;4.0;51.0;92.0;1.0;47.0;2020;enero
VILLA DE VALLECAS;15.0;30.0;5.0;42.0;70.0;32.0;26.0;34.0;11.0;4.0;3.0;20.0;0.0;68.0;156.0;0.0;22.0;2020;enero
VICÁLVARO;1.0;2.0;3.0;6.0;1.0;4.0;10.0;12.0;6.0;0.0;0.0;49.0;1.0;26.0;15.0;7.0;14.0;2020;enero
SAN BLAS - CANILLEJAS;11.0;22.0;1.0;10.0;0.0;26.0;45.0;46.0;8.0;0.0;4.0;7.0;1.0;57.0;87.0;6.0;18.0;2020;enero
BARAJAS;6.0;21.0;0.0;2.0;0.0;3.0;14.0;28.0;6.0;0.0;0.0;0.0;0.0;15.0;22.0;0.0;34.0;2020;enero
SIN DISTRITO ASIGNADO;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020;enero
OTRAS UNIDADES;;;;;;;;;44.0;;;;;;;;;2020;enero
CENTRO;54.0;71.0;8.0;177.0;60.0;141.0;60.0;38.0;46.0;583.0;293.0;729.0;1.0;325.0;574.0;17.0;4.0;2020;febrero
ARGANZUELA;9.0;22.0;1.0;11.0;13.0;36.0;32.0;32.0;14.0;26.0;11.0;125.0;5.0;57.0;68.0;4.0;3.0;2020;febrero
RETIRO;2.0;2.0;1.0;4.0;0.0;11.0;47.0;32.0;9.0;25.0;39.0;103.0;5.0;27.0;43.0;0.0;2.0;2020;febrero
SALAMANCA;7.0;32.0;0.0;91.0;14.0;50.0;64.0;68.0;14.0;6.0;9.0;94.0;5.0;136.0;252.0;0.0;24.0;2020;febrero
CHAMARTÍN;4.0;8.0;0.0;29.0;4.0;24.0;47.0;69.0;16.0;53.0;2.0;70.0;1.0;35.0;73.0;1.0;11.0;2020;febrero
TETUÁN;11.0;25.0;1.0;10.0;0.0;59.0;44.0;47.0;6.0;29.0;32.0;269.0;7.0;74.0;165.0;1.0;30.0;2020;febrero
CHAMBERÍ;21.0;19.0;1.0;44.0;12.0;25.0;49.0;51.0;4.0;5.0;3.0;270.0;14.0;128.0;315.0;0.0;3.0;2020;febrero
FUENCARRAL - EL PARDO;12.0;21.0;0.0;32.0;10.0;19.0;34.0;52.0;36.0;0.0;11.0;18.0;0.0;23.0;40.0;3.0;2.0;2020;febrero
MONCLOA - ARAVACA;9.0;17.0;0.0;28.0;6.0;19.0;42.0;48.0;26.0;0.0;0.0;210.0;2.0;42.0;59.0;0.0;1.0;2020;febrero
LATINA;13.0;13.0;1.0;14.0;7.0;34.0;44.0;26.0;34.0;3.0;34.0;115.0;1.0;29.0;84.0;0.0;27.0;2020;febrero
CARABANCHEL;29.0;51.0;2.0;19.0;6.0;39.0;43.0;50.0;56.0;11.0;32.0;104.0;2.0;98.0;143.0;8.0;37.0;2020;febrero
USERA;28.0;45.0;1.0;13.0;0.0;33.0;30.0;38.0;33.0;20.0;48.0;426.0;1.0;36.0;90.0;1.0;1.0;2020;febrero
PUENTE DE VALLECAS;22.0;30.0;12.0;113.0;2.0;98.0;48.0;62.0;44.0;12.0;25.0;71.0;0.0;112.0;156.0;0.0;1.0;2020;febrero
MORATALAZ;4.0;10.0;1.0;2.0;1.0;12.0;29.0;38.0;11.0;0.0;0.0;28.0;0.0;12.0;35.0;0.0;15.0;2020;febrero
CIUDAD LINEAL;17.0;36.0;3.0;33.0;3.0;43.0;53.0;59.0;37.0;0.0;21.0;69.0;0.0;77.0;80.0;0.0;0.0;2020;febrero
HORTALEZA;3.0;23.0;3.0;24.0;1.0;39.0;34.0;45.0;28.0;0.0;1.0;23.0;0.0;31.0;62.0;5.0;35.0;2020;febrero
VILLAVERDE;18.0;18.0;0.0;9.0;6.0;34.0;23.0;25.0;17.0;2.0;11.0;78.0;0.0;55.0;106.0;2.0;38.0;2020;febrero
VILLA DE VALLECAS;10.0;27.0;5.0;36.0;21.0;32.0;19.0;22.0;16.0;2.0;0.0;53.0;0.0;59.0;97.0;0.0;41.0;2020;febrero
VICÁLVARO;0.0;4.0;1.0;7.0;0.0;2.0;12.0;14.0;19.0;0.0;0.0;38.0;0.0;28.0;30.0;11.0;15.0;2020;febrero
SAN BLAS - CANILLEJAS;7.0;17.0;3.0;14.0;3.0;27.0;42.0;47.0;22.0;0.0;77.0;29.0;8.0;45.0;65.0;5.0;41.0;2020;febrero
BARAJAS;7.0;13.0;1.0;3.0;0.0;8.0;10.0;25.0;2.0;2.0;0.0;18.0;0.0;23.0;28.0;1.0;30.0;2020;febrero
SIN DISTRITO ASIGNADO;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2020;febrero
OTRAS UNIDADES;;;;;;;;;57.0;;;;;;;;;2020;febrero
CENTRO;23.0;48.0;1.0;62.0;16.0;95.0;21.0;27.0;36.0;184.0;181.0;486.0;5.0;111.0;163.0;7.0;0.0;2020;marzo
ARGANZUELA;8.0;19.0;1.0;9.0;4.0;29.0;24.0;23.0;19.0;16.0;7.0;24.0;0.0;48.0;58.0;1.0;2.0;2020;marzo
RETIRO;1.0;0.0;1.0;2.0;0.0;4.0;14.0;13.0;9.0;6.0;40.0;42.0;6.0;22.0;21.0;0.0;0.0;2020;marzo
SALAMANCA;3.0;23.0;2.0;29.0;3.0;18.0;24.0;36.0;8.0;1.0;0.0;26.0;0.0;65.0;118.0;0.0;5.0;2020;marzo
CHAMARTÍN;0.0;9.0;0.0;10.0;0.0;14.0;20.0;24.0;3.0;12.0;0.0;7.0;1.0;10.0;31.0;0.0;4.0;2020;marzo
TETUÁN;8.0;6.0;1.0;17.0;2.0;23.0;25.0;22.0;14.0;2.0;9.0;70.0;1.0;55.0;87.0;0.0;19.0;2020;marzo
CHAMBERÍ;13.0;17.0;0.0;15.0;6.0;7.0;27.0;21.0;14.0;4.0;4.0;104.0;2.0;45.0;124.0;1.0;0.0;2020;marzo
FUENCARRAL - EL PARDO;8.0;5.0;0.0;24.0;3.0;15.0;18.0;25.0;24.0;1.0;6.0;9.0;0.0;7.0;8.0;0.0;0.0;2020;marzo
MONCLOA - ARAVACA;8.0;6.0;0.0;6.0;4.0;9.0;20.0;26.0;13.0;1.0;2.0;58.0;0.0;22.0;39.0;1.0;1.0;2020;marzo
LATINA;3.0;26.0;4.0;18.0;4.0;26.0;6.0;18.0;21.0;4.0;5.0;64.0;0.0;37.0;68.0;1.0;6.0;2020;marzo
