DISTRITOS;RELACIONADAS CON LAS PERSONAS;RELACIONADAS CON EL PATRIMONIO;POR TENENCIA DE ARMAS;POR TENENCIA DE DROGAS;POR CONSUMO DE DROGAS;PERSONAS DETENIDAS E INVESTIGADAS;CON VICTIMAS;SIN VICTIMAS;EXPEDIENTES;PROPIEDAD INTELECTUAL E INDUSTRIAL;INFRACCIONES ALIMENTARIAS;MAYORES DE EDAD;MENORES DE 18 AÑOS;INSPECCIONES Y ACTUACIONES;DENUNCIAS;EXPEDIENTES INSTRUIDOS;CONTACTOS CON CENTROS ESCOLARES;AÑO;MES
CENTRO;51.0;235.0;51.0;212.0;79.0;420.0;59.0;15.0;12.0;478.0;199.0;1213.0;0.0;433.0;846.0;97.0;52.0;2017;enero
ARGANZUELA;42.0;147.0;7.0;27.0;8.0;70.0;38.0;11.0;2.0;7.0;57.0;16.0;0.0;169.0;224.0;2.0;44.0;2017;enero
RETIRO;12.0;12.0;3.0;33.0;1.0;22.0;46.0;10.0;1.0;12.0;19.0;84.0;7.0;90.0;114.0;1.0;30.0;2017;enero
SALAMANCA;7.0;39.0;0.0;4.0;6.0;77.0;59.0;11.0;3.0;22.0;0.0;20.0;0.0;207.0;364.0;0.0;22.0;2017;enero
CHAMARTÍN;10.0;18.0;2.0;19.0;8.0;49.0;69.0;10.0;3.0;16.0;12.0;41.0;3.0;165.0;349.0;4.0;66.0;2017;enero
TETUÁN;19.0;20.0;3.0;44.0;7.0;42.0;44.0;7.0;3.0;15.0;38.0;253.0;0.0;147.0;305.0;3.0;16.0;2017;enero
CHAMBERÍ;11.0;12.0;1.0;26.0;11.0;32.0;39.0;7.0;4.0;38.0;1.0;278.0;10.0;265.0;384.0;0.0;49.0;2017;enero
FUENCARRAL - EL PARDO;23.0;10.0;1.0;9.0;3.0;15.0;38.0;6.0;10.0;2.0;20.0;0.0;0.0;93.0;112.0;0.0;7.0;2017;enero
MONCLOA - ARAVACA;21.0;33.0;7.0;18.0;7.0;33.0;41.0;12.0;6.0;0.0;0.0;503.0;0.0;99.0;234.0;0.0;21.0;2017;enero
LATINA;20.0;36.0;18.0;13.0;4.0;51.0;39.0;8.0;11.0;8.0;29.0;101.0;0.0;118.0;203.0;0.0;66.0;2017;enero
CARABANCHEL;44.0;60.0;9.0;35.0;9.0;109.0;52.0;13.0;28.0;54.0;44.0;13.0;0.0;136.0;197.0;9.0;59.0;2017;enero
USERA;26.0;34.0;9.0;9.0;1.0;61.0;17.0;5.0;3.0;14.0;60.0;12.0;1.0;93.0;209.0;0.0;19.0;2017;enero
PUENTE DE VALLECAS;123.0;68.0;16.0;54.0;12.0;59.0;35.0;13.0;10.0;411.0;49.0;82.0;4.0;76.0;221.0;0.0;40.0;2017;enero
MORATALAZ;6.0;21.0;12.0;24.0;0.0;15.0;13.0;7.0;2.0;5.0;1.0;7.0;0.0;72.0;71.0;2.0;28.0;2017;enero
CIUDAD LINEAL;58.0;22.0;2.0;32.0;1.0;30.0;47.0;9.0;17.0;1.0;13.0;76.0;0.0;115.0;127.0;0.0;35.0;2017;enero
HORTALEZA;12.0;22.0;4.0;25.0;3.0;17.0;29.0;10.0;3.0;1.0;6.0;6.0;0.0;55.0;99.0;4.0;51.0;2017;enero
VILLAVERDE;21.0;24.0;2.0;9.0;2.0;33.0;24.0;9.0;8.0;9.0;7.0;51.0;0.0;111.0;156.0;2.0;56.0;2017;enero
