DISTRITOS;RELACIONADAS CON LAS PERSONAS;RELACIONADAS CON EL PATRIMONIO;POR TENENCIA DE ARMAS;POR TENENCIA DE DROGAS;POR CONSUMO DE DROGAS;PERSONAS DETENIDAS E INVESTIGADAS;CON VICTIMAS;SIN VICTIMAS;EXPEDIENTES;PROPIEDAD INTELECTUAL E INDUSTRIAL;INFRACCIONES ALIMENTARIAS;MAYORES DE EDAD;MENORES DE 18 AÑOS;INSPECCIONES Y ACTUACIONES;DENUNCIAS;EXPEDIENTES INSTRUIDOS;CONTACTOS CON CENTROS ESCOLARES;AÑO;MES
CENTRO;26.0;40.0;11.0;163.0;65.0;114.0;43.0;60.0;53.0;262.0;28.0;1307.0;22.0;601.0;894.0;10.0;1.0;2019;enero
ARGANZUELA;8.0;13.0;2.0;9.0;9.0;22.0;35.0;41.0;5.0;4.0;24.0;12.0;1.0;107.0;103.0;5.0;13.0;2019;enero
RETIRO;4.0;7.0;3.0;9.0;1.0;11.0;40.0;43.0;8.0;27.0;16.0;36.0;9.0;22.0;44.0;0.0;0.0;2019;enero
SALAMANCA;8.0;40.0;0.0;14.0;8.0;37.0;58.0;62.0;13.0;6.0;16.0;66.0;2.0;170.0;346.0;0.0;54.0;2019;enero
CHAMARTÍN;12.0;8.0;3.0;29.0;7.0;19.0;52.0;57.0;12.0;27.0;3.0;161.0;3.0;45.0;105.0;0.0;0.0;2019;enero
TETUÁN;25.0;14.0;3.0;35.0;7.0;39.0;36.0;47.0;9.0;4.0;15.0;202.0;9.0;78.0;178.0;0.0;1.0;2019;enero
CHAMBERÍ;23.0;10.0;0.0;14.0;6.0;19.0;43.0;57.0;4.0;4.0;1.0;80.0;17.0;55.0;173.0;0.0;0.0;2019;enero
FUENCARRAL - EL PARDO;1.0;3.0;1.0;43.0;0.0;15.0;52.0;69.0;35.0;1.0;24.0;15.0;2.0;33.0;63.0;0.0;0.0;2019;enero
MONCLOA - ARAVACA;5.0;12.0;1.0;2.0;0.0;12.0;36.0;52.0;18.0;2.0;6.0;97.0;0.0;25.0;37.0;2.0;0.0;2019;enero
LATINA;7.0;7.0;0.0;8.0;0.0;23.0;38.0;41.0;37.0;3.0;8.0;91.0;5.0;60.0;95.0;0.0;6.0;2019;enero
CARABANCHEL;3.0;9.0;0.0;24.0;0.0;35.0;51.0;58.0;50.0;2.0;1.0;30.0;1.0;68.0;178.0;3.0;66.0;2019;enero
USERA;8.0;12.0;1.0;6.0;3.0;38.0;18.0;38.0;13.0;13.0;25.0;110.0;0.0;65.0;217.0;0.0;6.0;2019;enero
PUENTE DE VALLECAS;16.0;31.0;12.0;78.0;7.0;86.0;45.0;90.0;38.0;10.0;1.0;115.0;3.0;106.0;106.0;0.0;0.0;2019;enero
MORATALAZ;1.0;6.0;3.0;1.0;1.0;10.0;23.0;34.0;5.0;0.0;0.0;31.0;0.0;16.0;22.0;0.0;8.0;2019;enero
CIUDAD LINEAL;21.0;22.0;1.0;17.0;5.0;30.0;41.0;56.0;21.0;1.0;4.0;52.0;4.0;54.0;83.0;0.0;2.0;2019;enero
HORTALEZA;9.0;8.0;1.0;16.0;3.0;18.0;30.0;43.0;17.0;1.0;1.0;1.0;3.0;6.0;7.0;0.0;0.0;2019;enero
VILLAVERDE;15.0;17.0;6.0;33.0;1.0;33.0;19.0;30.0;16.0;5.0;6.0;53.0;1.0;69.0;88.0;0.0;7.0;2019;enero
VILLA DE VALLECAS;2.0;6.0;8.0;33.0;20.0;33.0;19.0;30.0;15.0;0.0;1.0;23.0;0.0;69.0;138.0;0.0;0.0;2019;enero
VICÁLVARO;0.0;0.0;0.0;1.0;0.0;4.0;9.0;10.0;7.0;1.0;0.0;13.0;0.0;28.0;34.0;0.0;0.0;2019;enero
SAN BLAS - CANILLEJAS;8.0;16.0;6.0;13.0;1.0;23.0;46.0;51.0;18.0;0.0;9.0;25.0;3.0;17.0;57.0;2.0;34.0;2019;enero
BARAJAS;7.0;12.0;0.0;2.0;0.0;5.0;8.0;20.0;9.0;0.0;0.0;0.0;0.0;57.0;37.0;0.0;18.0;2019;enero
SIN DISTRITO ASIGNADO;209.0;286.0;14.0;42.0;70.0;3.0;0.0;0.0;;138.0;108.0;124.0;5.0;0.0;0.0;10.0;156.0;2019;enero
OTRAS UNIDADES;;;;;;;;;10.0;;;;;;;;;2019;enero
CENTRO;30.0;61.0;10.0;169.0;80.0;112.0;33.0;44.0;60.0;210.0;71.0;1256.0;12.0;470.0;719.0;12.0;3.0;2019;febrero
ARGANZUELA;15.0;29.0;1.0;12.0;1.0;26.0;37.0;38.0;9.0;22.0;31.0;9.0;0.0;123.0;137.0;2.0;16.0;2019;febrero
RETIRO;3.0;4.0;0.0;3.0;3.0;20.0;42.0;62.0;9.0;1.0;25.0;104.0;2.0;42.0;61.0;0.0;8.0;2019;febrero
SALAMANCA;14.0;31.0;0.0;8.0;5.0;59.0;70.0;70.0;6.0;3.0;9.0;43.0;0.0;196.0;364.0;2.0;12.0;2019;febrero
CHAMARTÍN;10.0;15.0;0.0;19.0;3.0;25.0;64.0;81.0;8.0;141.0;5.0;159.0;0.0;117.0;239.0;0.0;2.0;2019;febrero
TETUÁN;16.0;19.0;1.0;31.0;4.0;22.0;28.0;54.0;20.0;5.0;47.0;228.0;4.0;62.0;140.0;0.0;0.0;2019;febrero
CHAMBERÍ;9.0;13.0;0.0;19.0;6.0;25.0;45.0;46.0;22.0;3.0;2.0;143.0;8.0;85.0;165.0;0.0;0.0;2019;febrero
FUENCARRAL - EL PARDO;4.0;3.0;2.0;58.0;1.0;8.0;41.0;37.0;32.0;3.0;2.0;6.0;1.0;54.0;85.0;0.0;7.0;2019;febrero
MONCLOA - ARAVACA;8.0;11.0;4.0;12.0;4.0;17.0;40.0;64.0;16.0;0.0;1.0;246.0;0.0;53.0;51.0;0.0;0.0;2019;febrero
LATINA;15.0;10.0;1.0;10.0;2.0;27.0;41.0;43.0;30.0;0.0;9.0;115.0;1.0;75.0;127.0;0.0;49.0;2019;febrero
CARABANCHEL;8.0;6.0;3.0;23.0;5.0;51.0;46.0;74.0;54.0;14.0;6.0;47.0;0.0;110.0;145.0;13.0;75.0;2019;febrero
USERA;4.0;10.0;2.0;34.0;6.0;31.0;21.0;23.0;16.0;29.0;67.0;135.0;2.0;56.0;138.0;0.0;23.0;2019;febrero
PUENTE DE VALLECAS;18.0;21.0;9.0;77.0;5.0;109.0;48.0;71.0;28.0;0.0;3.0;135.0;6.0;93.0;185.0;1.0;0.0;2019;febrero
MORATALAZ;11.0;11.0;2.0;7.0;0.0;14.0;11.0;38.0;15.0;4.0;1.0;33.0;4.0;19.0;32.0;0.0;8.0;2019;febrero
CIUDAD LINEAL;17.0;26.0;5.0;31.0;3.0;36.0;37.0;56.0;26.0;1.0;19.0;70.0;1.0;80.0;102.0;0.0;6.0;2019;febrero
HORTALEZA;10.0;9.0;6.0;11.0;4.0;19.0;19.0;50.0;24.0;1.0;4.0;9.0;0.0;38.0;86.0;0.0;1.0;2019;febrero
VILLAVERDE;13.0;15.0;2.0;29.0;0.0;28.0;21.0;31.0;13.0;4.0;13.0;76.0;2.0;73.0;73.0;0.0;0.0;2019;febrero
VILLA DE VALLECAS;6.0;22.0;4.0;35.0;78.0;42.0;28.0;26.0;16.0;12.0;8.0;11.0;0.0;67.0;109.0;0.0;3.0;2019;febrero
VICÁLVARO;0.0;0.0;1.0;4.0;1.0;4.0;11.0;15.0;13.0;0.0;0.0;26.0;2.0;15.0;4.0;0.0;0.0;2019;febrero
SAN BLAS - CANILLEJAS;13.0;17.0;2.0;17.0;1.0;33.0;38.0;42.0;30.0;0.0;49.0;37.0;0.0;27.0;37.0;5.0;35.0;2019;febrero
BARAJAS;3.0;10.0;0.0;10.0;0.0;7.0;16.0;25.0;9.0;0.0;5.0;8.0;0.0;59.0;91.0;2.0;28.0;2019;febrero
SIN DISTRITO ASIGNADO;215.0;209.0;5.0;66.0;48.0;6.0;0.0;0.0;;160.0;122.0;144.0;1.0;0.0;0.0;12.0;220.0;2019;febrero
OTRAS UNIDADES;;;;;;;;;19.0;;;;;;;;;2019;febrero
CENTRO;50.0;98.0;2.0;132.0;55.0;135.0;72.0;56.0;45.0;270.0;60.0;1107.0;6.0;528.0;860.0;8.0;8.0;2019;marzo
ARGANZUELA;15.0;36.0;2.0;18.0;1.0;29.0;31.0;39.0;11.0;28.0;28.0;27.0;0.0;139.0;149.0;1.0;0.0;2019;marzo
RETIRO;10.0;9.0;5.0;8.0;0.0;18.0;46.0;34.0;17.0;28.0;47.0;89.0;3.0;59.0;43.0;0.0;19.0;2019;marzo
SALAMANCA;10.0;33.0;1.0;82.0;7.0;60.0;65.0;75.0;10.0;3.0;8.0;120.0;9.0;222.0;344.0;0.0;30.0;2019;marzo
CHAMARTÍN;6.0;14.0;0.0;23.0;4.0;33.0;72.0;83.0;16.0;167.0;3.0;146.0;11.0;140.0;291.0;3.0;1.0;2019;marzo
TETUÁN;31.0;19.0;4.0;33.0;3.0;47.0;50.0;48.0;12.0;8.0;58.0;296.0;7.0;72.0;143.0;0.0;0.0;2019;marzo
CHAMBERÍ;10.0;11.0;1.0;27.0;4.0;31.0;55.0;54.0;8.0;2.0;1.0;167.0;11.0;85.0;204.0;4.0;1.0;2019;marzo
FUENCARRAL - EL PARDO;5.0;4.0;1.0;28.0;3.0;18.0;41.0;48.0;45.0;2.0;2.0;20.0;2.0;40.0;92.0;1.0;5.0;2019;marzo
MONCLOA - ARAVACA;15.0;22.0;0.0;7.0;1.0;26.0;43.0;55.0;19.0;2.0;1.0;207.0;6.0;20.0;39.0;2.0;18.0;2019;marzo
LATINA;8.0;8.0;2.0;19.0;1.0;25.0;49.0;50.0;26.0;4.0;38.0;146.0;4.0;59.0;138.0;1.0;8.0;2019;marzo
CARABANCHEL;16.0;10.0;1.0;23.0;6.0;51.0;52.0;55.0;51.0;18.0;34.0;91.0;4.0;102.0;105.0;12.0;65.0;2019;marzo
USERA;22.0;29.0;2.0;24.0;1.0;34.0;35.0;39.0;24.0;19.0;78.0;183.0;1.0;45.0;111.0;0.0;15.0;2019;marzo
PUENTE DE VALLECAS;14.0;30.0;11.0;105.0;14.0;83.0;52.0;71.0;45.0;0.0;3.0;197.0;5.0;116.0;192.0;0.0;0.0;2019;marzo
MORATALAZ;5.0;4.0;7.0;9.0;2.0;14.0;17.0;31.0;10.0;0.0;0.0;65.0;4.0;27.0;40.0;0.0;8.0;2019;marzo
CIUDAD LINEAL;24.0;19.0;1.0;22.0;3.0;38.0;41.0;65.0;44.0;0.0;5.0;61.0;4.0;71.0;91.0;0.0;0.0;2019;marzo
HORTALEZA;8.0;20.0;5.0;18.0;9.0;13.0;36.0;36.0;16.0;0.0;4.0;15.0;0.0;91.0;148.0;2.0;37.0;2019;marzo
VILLAVERDE;12.0;26.0;2.0;26.0;1.0;37.0;23.0;32.0;13.0;4.0;16.0;112.0;5.0;80.0;95.0;1.0;0.0;2019;marzo
VILLA DE VALLECAS;17.0;17.0;2.0;22.0;97.0;40.0;22.0;26.0;16.0;3.0;3.0;46.0;1.0;84.0;92.0;0.0;7.0;2019;marzo
VICÁLVARO;0.0;3.0;0.0;11.0;0.0;4.0;14.0;8.0;8.0;0.0;0.0;45.0;1.0;19.0;12.0;0.0;0.0;2019;marzo
SAN BLAS - CANILLEJAS;12.0;19.0;4.0;18.0;0.0;37.0;46.0;58.0;18.0;0.0;18.0;114.0;5.0;58.0;64.0;5.0;35.0;2019;marzo
BARAJAS;4.0;2.0;0.0;8.0;2.0;12.0;23.0;33.0;6.0;0.0;5.0;0.0;0.0;47.0;64.0;0.0;16.0;2019;marzo
SIN DISTRITO ASIGNADO;141.0;136.0;6.0;23.0;14.0;11.0;0.0;0.0;;73.0;155.0;135.0;9.0;0.0;0.0;10.0;108.0;2019;marzo
OTRAS UNIDADES;;;;;;;;;17.0;;;;;;;;;2019;marzo
CENTRO;48.0;99.0;1.0;150.0;58.0;124.0;58.0;44.0;53.0;190.0;55.0;790.0;7.0;351.0;630.0;3.0;12.0;2019;abril
ARGANZUELA;14.0;29.0;1.0;12.0;15.0;22.0;44.0;45.0;11.0;33.0;38.0;78.0;3.0;158.0;188.0;1.0;3.0;2019;abril
RETIRO;5.0;9.0;2.0;5.0;2.0;13.0;52.0;33.0;12.0;15.0;31.0;135.0;4.0;34.0;47.0;3.0;11.0;2019;abril
SALAMANCA;7.0;35.0;2.0;25.0;5.0;50.0;77.0;57.0;10.0;2.0;4.0;87.0;8.0;89.0;140.0;1.0;7.0;2019;abril
CHAMARTÍN;8.0;8.0;1.0;38.0;2.0;17.0;56.0;71.0;9.0;10.0;3.0;176.0;4.0;34.0;62.0;0.0;9.0;2019;abril
TETUÁN;26.0;23.0;0.0;37.0;5.0;53.0;44.0;42.0;11.0;15.0;45.0;368.0;9.0;65.0;153.0;1.0;0.0;2019;abril
CHAMBERÍ;5.0;17.0;0.0;20.0;4.0;14.0;52.0;45.0;4.0;3.0;4.0;134.0;10.0;95.0;177.0;2.0;5.0;2019;abril
FUENCARRAL - EL PARDO;3.0;2.0;0.0;33.0;3.0;15.0;46.0;47.0;34.0;1.0;1.0;9.0;1.0;62.0;122.0;0.0;1.0;2019;abril
MONCLOA - ARAVACA;8.0;28.0;0.0;16.0;2.0;28.0;55.0;59.0;20.0;1.0;1.0;239.0;2.0;8.0;13.0;2.0;5.0;2019;abril
LATINA;8.0;12.0;2.0;31.0;4.0;36.0;53.0;59.0;27.0;14.0;42.0;250.0;5.0;45.0;111.0;1.0;23.0;2019;abril
CARABANCHEL;9.0;20.0;6.0;38.0;10.0;33.0;46.0;67.0;21.0;13.0;58.0;170.0;2.0;103.0;132.0;25.0;35.0;2019;abril
USERA;26.0;27.0;1.0;12.0;3.0;34.0;31.0;30.0;25.0;25.0;99.0;291.0;16.0;36.0;97.0;0.0;8.0;2019;abril
PUENTE DE VALLECAS;14.0;27.0;7.0;10.0;1.0;91.0;51.0;62.0;30.0;0.0;2.0;119.0;1.0;169.0;230.0;0.0;0.0;2019;abril
MORATALAZ;1.0;8.0;3.0;7.0;1.0;8.0;20.0;24.0;8.0;0.0;0.0;26.0;0.0;23.0;36.0;2.0;0.0;2019;abril
CIUDAD LINEAL;19.0;17.0;2.0;20.0;2.0;39.0;45.0;52.0;33.0;1.0;17.0;100.0;6.0;67.0;98.0;0.0;0.0;2019;abril
HORTALEZA;10.0;13.0;0.0;17.0;2.0;19.0;27.0;54.0;16.0;1.0;1.0;14.0;3.0;96.0;178.0;2.0;28.0;2019;abril
VILLAVERDE;16.0;22.0;0.0;28.0;2.0;69.0;14.0;29.0;0.0;1.0;1.0;81.0;0.0;94.0;118.0;0.0;11.0;2019;abril
VILLA DE VALLECAS;15.0;36.0;5.0;48.0;115.0;30.0;20.0;20.0;13.0;2.0;4.0;37.0;0.0;57.0;77.0;3.0;0.0;2019;abril
VICÁLVARO;0.0;0.0;1.0;8.0;1.0;8.0;10.0;16.0;6.0;0.0;0.0;37.0;1.0;27.0;16.0;0.0;0.0;2019;abril
SAN BLAS - CANILLEJAS;11.0;11.0;2.0;13.0;2.0;39.0;55.0;44.0;16.0;1.0;41.0;55.0;5.0;47.0;94.0;8.0;24.0;2019;abril
BARAJAS;3.0;4.0;1.0;2.0;0.0;6.0;17.0;22.0;6.0;0.0;1.0;20.0;1.0;23.0;16.0;0.0;44.0;2019;abril
SIN DISTRITO ASIGNADO;102.0;104.0;6.0;48.0;11.0;9.0;0.0;0.0;;60.0;199.0;171.0;0.0;0.0;0.0;7.0;107.0;2019;abril
OTRAS UNIDADES;;;;;;;;;24.0;;;;;;;;;2019;abril
CENTRO;75.0;105.0;3.0;202.0;87.0;104.0;49.0;53.0;44.0;438.0;117.0;1170.0;3.0;342.0;751.0;7.0;3.0;2019;mayo
ARGANZUELA;15.0;15.0;0.0;85.0;41.0;21.0;35.0;31.0;16.0;13.0;29.0;64.0;4.0;101.0;100.0;0.0;5.0;2019;mayo
RETIRO;8.0;11.0;2.0;21.0;4.0;18.0;57.0;42.0;4.0;57.0;50.0;132.0;5.0;40.0;36.0;0.0;13.0;2019;mayo
SALAMANCA;7.0;37.0;3.0;30.0;10.0;44.0;75.0;83.0;14.0;10.0;4.0;112.0;5.0;68.0;126.0;0.0;10.0;2019;mayo
CHAMARTÍN;10.0;15.0;7.0;34.0;7.0;32.0;67.0;74.0;6.0;11.0;2.0;243.0;3.0;52.0;115.0;1.0;0.0;2019;mayo
TETUÁN;30.0;17.0;5.0;51.0;3.0;61.0;44.0;49.0;6.0;5.0;50.0;282.0;9.0;70.0;168.0;0.0;0.0;2019;mayo
CHAMBERÍ;17.0;9.0;0.0;30.0;10.0;22.0;52.0;50.0;8.0;1.0;2.0;172.0;8.0;132.0;294.0;2.0;2.0;2019;mayo
FUENCARRAL - EL PARDO;3.0;0.0;3.0;10.0;1.0;21.0;41.0;59.0;45.0;4.0;2.0;3.0;0.0;78.0;120.0;1.0;6.0;2019;mayo
MONCLOA - ARAVACA;2.0;20.0;1.0;9.0;2.0;19.0;31.0;57.0;24.0;1.0;12.0;296.0;9.0;23.0;42.0;0.0;11.0;2019;mayo
LATINA;10.0;16.0;6.0;27.0;18.0;30.0;52.0;50.0;20.0;23.0;76.0;181.0;4.0;48.0;91.0;1.0;17.0;2019;mayo
CARABANCHEL;26.0;22.0;8.0;81.0;60.0;52.0;63.0;65.0;47.0;62.0;46.0;91.0;1.0;58.0;85.0;14.0;44.0;2019;mayo
USERA;18.0;24.0;2.0;5.0;3.0;25.0;32.0;25.0;22.0;14.0;24.0;311.0;0.0;62.0;146.0;0.0;11.0;2019;mayo
PUENTE DE VALLECAS;19.0;28.0;9.0;13.0;0.0;91.0;59.0;71.0;25.0;1.0;0.0;266.0;1.0;146.0;209.0;0.0;0.0;2019;mayo
MORATALAZ;4.0;7.0;1.0;4.0;3.0;16.0;32.0;36.0;9.0;1.0;0.0;39.0;0.0;25.0;29.0;3.0;1.0;2019;mayo
CIUDAD LINEAL;29.0;40.0;3.0;32.0;3.0;46.0;57.0;56.0;64.0;1.0;13.0;128.0;2.0;85.0;107.0;0.0;1.0;2019;mayo
HORTALEZA;10.0;5.0;0.0;12.0;1.0;28.0;29.0;48.0;20.0;0.0;2.0;3.0;0.0;63.0;79.0;5.0;2.0;2019;mayo
